repo,sha,file,adds,dels,is_test
bencan1a/3ds-examples,67d150913d621a1934f2b799a82001492826fc77,.gitignore,4,0,false
bencan1a/3ds-examples,67d150913d621a1934f2b799a82001492826fc77,README.md,34,0,false
bencan1a/3ds-examples,67d150913d621a1934f2b799a82001492826fc77,build-outputs/hello-world.3dsx,0,0,false
bencan1a/3ds-examples,67d150913d621a1934f2b799a82001492826fc77,build-with-docker.sh,41,0,false
bencan1a/3ds-examples,f977139a7fef8151ef1f3d7f858c5bc95d613428,.gitignore,4,0,false
bencan1a/3ds-examples,f977139a7fef8151ef1f3d7f858c5bc95d613428,README.md,1,1,false
bencan1a/3ds-examples,f977139a7fef8151ef1f3d7f858c5bc95d613428,build-outputs/hello-world.3dsx,0,0,false
bencan1a/3ds-examples,f977139a7fef8151ef1f3d7f858c5bc95d613428,build-with-docker.sh,13,3,false
bencan1a/3ds-examples,a5c322b7f6c050c63a2cf3a1170a4588d3c7deb2,build-with-docker.sh,1,1,false
bencan1a/3ds-examples,7333a948e354699da8afd48f6d4cd67e8dfbbb80,README.md,34,0,false
bencan1a/3ds-examples,7333a948e354699da8afd48f6d4cd67e8dfbbb80,build-with-docker.sh,31,0,false
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,dsconv/cli/config_mapper.py,6,1,false
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,dsconv/crypto/certchain_provider.py,13,2,false
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,dsconv/data/__init__.py,21,1,false
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,dsconv/services/conversion_service.py,5,12,false
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,tests/unit/crypto/test_certchain_provider.py,3,0,true
bencan1a/3dsconv,ba2c899cf650fd3e4913b4694bd837348982e9ef,tests/unit/services/test_conversion_service.py,2,0,true
bencan1a/3dsconv,285fdca7584d1ecb9a377f0290761cf37f0be03f,tests/unit/services/test_conversion_service.py,2,0,true
bencan1a/3dsconv,ff3b81e401f8f3d5ed44135df1af0b09e85ff046,dsconv/cli/config_mapper.py,6,1,false
bencan1a/3dsconv,ff3b81e401f8f3d5ed44135df1af0b09e85ff046,tests/unit/crypto/test_certchain_provider.py,3,0,true
bencan1a/3dsconv,a2bfd4ef0d471c15f4c5294343d9afb0fa1615d2,dsconv/crypto/certchain_provider.py,13,2,false
bencan1a/3dsconv,a2bfd4ef0d471c15f4c5294343d9afb0fa1615d2,dsconv/data/__init__.py,21,1,false
bencan1a/3dsconv,a2bfd4ef0d471c15f4c5294343d9afb0fa1615d2,dsconv/services/conversion_service.py,5,12,false
bencan1a/3dsconv,24250b579f593db39f487c9e66c7302586f070e4,tests/integration/test_conversion_edge_cases.py,277,0,true
bencan1a/3dsconv,b049f28a67aa8c00e62f5f45b0d9ea2affe1b59a,tests/integration/test_conversion_edge_cases.py,1,3,true
bencan1a/3dsconv,1017a231b93b4e10601f3d635e3fd8877e46e4f4,tests/integration/test_conversion_edge_cases.py,279,0,true
bencan1a/3dsconv,954dc737f4a428dc022db733a68fcc6c953b3f59,tests/integration/test_full_conversion.py,0,496,true
bencan1a/3dsconv,478e2797590534ffe1e47c7e0957baeb0d407996,tests/integration/test_full_conversion.py,496,0,true
bencan1a/3dsconv,20c56c24d64d2a6d1364337fd6e75736f5fe0a83,README.md,8,1,false
bencan1a/3dsconv,20c56c24d64d2a6d1364337fd6e75736f5fe0a83,docs/LEGACY_CODE_STRATEGY.md,297,0,false
bencan1a/3dsconv,20c56c24d64d2a6d1364337fd6e75736f5fe0a83,dsconv/3dsconv.py,11,15,false
